Filename,Using_OpenMP,Using_GPU,MPI_Processes,Number Images,Number Pixels,Import Duration,Gray Filter Duration,Blur Filter Duration,Sobel Filter Duration,Export Duration
images/original/051009.vince.gif,Using_OpenMP on pixels,No,1,1,1354892,0.024437,0.000262,0.021236,0.001499,0.125158
images/original/1.gif,Using_OpenMP on pixels,No,8,10,250000,0.037940,0.001375,0.033227,0.003389,0.111171
images/original/200_s.gif,No,No,1,1,40000,0.001684,0.000137,0.001670,0.000515,0.002391
images/original/9815573.gif,Using_OpenMP on pixels,No,8,10,140500,0.029805,0.001095,0.015561,0.001384,0.056824
images/original/australian-flag-large.gif,Using_OpenMP on pixels,No,1,1,720000,0.011633,0.000380,0.012626,0.000961,0.013339
images/original/Campusplan-Hausnr.gif,Using_OpenMP on pixels,Yes,1,1,69682912,0.269600,0.033639,0.406522,0.092841,0.372233
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,Using_OpenMP on pixels,Yes,1,1,69689928,0.265532,0.033881,0.319286,0.093600,0.953306
images/original/fire.gif,Using_OpenMP on images,No,8,33,1800,0.001920,0.000045,0.000480,0.000115,0.004456
images/original/frame_002.gif,Using_OpenMP on pixels,No,1,1,263250,0.005215,0.000155,0.003520,0.001324,0.008085
images/original/giphy-3.gif,Using_OpenMP on pixels,Yes,5,5,2073600,0.071883,0.004845,0.156539,0.013908,0.598224
images/original/Mandelbrot-large.gif,Using_OpenMP on images,Yes,8,20,1440000,0.131611,0.014492,0.210446,0.030199,1.303897
images/original/porsche.gif,No,No,1,1,64000,0.001045,0.000106,0.002637,0.000689,0.003184
images/original/Produits_sous_linux.gif,Using_OpenMP on pixels,No,1,1,760000,0.007701,0.000227,0.012533,0.000855,0.005227
images/original/TimelyHugeGnu.gif,Using_OpenMP on images,No,8,19,230400,0.057522,0.001711,0.034276,0.004393,0.265975
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,Using_OpenMP on pixels,No,8,10,230400,0.016309,0.000541,0.032834,0.002964,0.263736
