Filename,Number Images,Number Pixels,Import Duration,Gray Filter Duration,Blur Filter Duration,Sobel Filter Duration,Export Duration
images/original/051009.vince.gif, 1, 1354892, 0.023309,0.001309,0.121586,0.002933,0.014711
images/original/1.gif, 10, 250000, 0.019486,0.002738,0.093466,0.006125,0.024323
images/original/200_s.gif, 1, 40000, 0.000636,0.000065,0.081242,0.000448,0.001640
images/original/9815573.gif, 10, 140500, 0.014556,0.001766,0.085535,0.004161,0.010983
images/original/australian-flag-large.gif, 1, 720000, 0.004990,0.001168,0.086118,0.001747,0.007987
images/original/Campusplan-Hausnr.gif, 1, 69682912, 0.324363,0.073499,0.285859,0.168348,0.390885
images/original/Campusplan-Mobilitaetsbeschraenkte.gif, 1, 69689928, 0.319829,0.073459,0.286273,0.168335,0.391484
images/original/fire.gif, 33, 1800, 0.001184,0.000096,0.095290,0.001461,0.002525
images/original/frame_002.gif, 1, 263250, 0.002251,0.000424,0.088000,0.000953,0.003003
images/original/giphy-3.gif, 5, 2073600, 0.077442,0.010932,0.114520,0.021402,0.208063
images/original/Mandelbrot-large.gif, 20, 1440000, 0.150062,0.027847,0.165585,0.054323,0.426810
images/original/porsche.gif, 1, 64000, 0.001004,0.000103,0.086682,0.000614,0.001525
images/original/Produits_sous_linux.gif, 1, 760000, 0.004975,0.000872,0.081742,0.001820,0.006777
images/original/TimelyHugeGnu.gif, 19, 230400, 0.037534,0.005730,0.096940,0.010958,0.030008
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif, 10, 230400, 0.015367,0.002970,0.093769,0.005912,0.017621
