Filename,Using_MPI,Number_Processes,Number_Images,Number_Pixels,Import_Duration,Gray_Filter_Duration,Blur_Filter_Duration,Sobel_Filter_Duration,Export_Duration
images/original/051009.vince.gif,Yes,256,1,1354892,0.037798,0.002005,0.043797,0.004254,0.132123
images/original/1.gif,Yes,256,10,250000,0.051560,0.000739,0.017023,0.002283,0.131723
images/original/200_s.gif,Yes,256,1,40000,0.002161,0.001160,0.001019,0.000914,0.002785
images/original/9815573.gif,Yes,256,10,140500,0.038654,0.000760,0.005223,0.000910,0.064474
images/original/australian-flag-large.gif,Yes,256,1,720000,0.014140,0.001601,0.028882,0.002248,0.016890
images/original/Campusplan-Hausnr.gif,Yes,256,1,69682912,0.363696,0.073234,2.322571,0.260438,0.384414
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,Yes,256,1,69689928,0.366267,0.073141,2.322046,0.260187,1.352392
images/original/fire.gif,Yes,256,33,1800,0.003232,0.000843,0.000709,0.000742,0.003545
images/original/frame_002.gif,Yes,256,1,263250,0.007375,0.001066,0.007723,0.003143,0.004539
images/original/giphy-3.gif,Yes,256,5,2073600,0.117072,0.004633,0.073167,0.013108,0.789229
images/original/Mandelbrot-large.gif,Yes,256,20,1440000,0.196069,0.010578,0.130322,0.030453,1.902201
images/original/porsche.gif,Yes,256,1,64000,0.002747,0.001014,0.002694,0.000972,0.003295
images/original/Produits_sous_linux.gif,Yes,256,1,760000,0.017035,0.002340,0.036353,0.002687,0.006254
images/original/TimelyHugeGnu.gif,Yes,256,19,230400,0.077671,0.001038,0.012501,0.004369,0.303856
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,Yes,256,10,230400,0.051917,0.000729,0.014859,0.002122,0.272346
