Filename,Using_OpenMP,Number Images,Number Pixels,Import Duration,Gray Filter Duration,Blur Filter Duration,Sobel Filter Duration,Export Duration
images/original/051009.vince.gif,Using OpenMP on pixels,1, 1354892, 0.022570,0.000237,0.016036,0.001948,0.130505
images/original/1.gif,Using OpenMP on images,10, 250000, 0.013209,0.000558,0.021508,0.003208,0.129516
images/original/200_s.gif,Using OpenMP on pixels,1, 40000, 0.000694,0.000590,0.000141,0.000067,0.002187
images/original/9815573.gif,Using OpenMP on images,10, 140500, 0.013315,0.000691,0.029779,0.003899,0.078816
images/original/australian-flag-large.gif,Using OpenMP on pixels,1, 720000, 0.004438,0.000108,0.019663,0.002084,0.033188
images/original/Campusplan-Hausnr.gif,Using OpenMP on pixels,1, 69682912, 0.270705,0.033476,0.898949,0.102134,0.390081
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,Using OpenMP on pixels,1, 69689928, 0.260972,0.033656,0.967986,0.098752,1.356490
images/original/fire.gif,Using OpenMP on images,33, 1800, 0.001081,0.000012,0.000403,0.000027,0.002271
images/original/frame_002.gif,Using OpenMP on pixels,1, 263250, 0.001797,0.000035,0.001042,0.000530,0.006352
images/original/giphy-3.gif,Using OpenMP on pixels,5, 2073600, 0.072263,0.004120,0.076212,0.008899,0.785400
images/original/Mandelbrot-large.gif,Using OpenMP on images,20, 1440000, 0.121177,0.012995,0.164625,0.032622,1.886458
images/original/porsche.gif,Using OpenMP on pixels,1, 64000, 0.001243,0.000017,0.000339,0.000093,0.001989
images/original/Produits_sous_linux.gif,Using OpenMP on pixels,1, 760000, 0.004275,0.000109,0.013335,0.001407,0.009266
images/original/TimelyHugeGnu.gif,Using OpenMP on images,19, 230400, 0.036386,0.001521,0.019300,0.004133,0.294324
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,Using OpenMP on images,10, 230400, 0.012954,0.000574,0.024165,0.003103,0.272211
