Filename,Number Images,Number Pixels,Import Duration,Gray Filter Duration,Blur Filter Duration,Sobel Filter Duration,Export Duration
images/original/051009.vince.gif,1,1354892,0.030933,0.002311,0.069671,0.005598,0.130501
images/original/1.gif,10,250000,0.017273,0.002499,0.092135,0.008178,0.129722
images/original/200_s.gif,1,40000,0.001020,0.000068,0.000752,0.000223,0.001583
images/original/9815573.gif,10,140500,0.014876,0.001602,0.040121,0.003350,0.063182
images/original/australian-flag-large.gif,1,720000,0.004222,0.000806,0.034272,0.002308,0.016079
images/original/Campusplan-Hausnr.gif,1,69682912,0.317365,0.072502,4.027796,0.265796,0.377516
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1,69689928,0.318974,0.073386,3.994832,0.264411,1.319133
images/original/fire.gif,33,1800,0.001172,0.000096,0.000218,0.000257,0.002709
images/original/frame_002.gif,1,263250,0.002235,0.000448,0.003249,0.001166,0.003025
images/original/giphy-3.gif,5,2073600,0.075324,0.010921,0.409891,0.036415,0.775497
images/original/Mandelbrot-large.gif,20,1440000,0.148705,0.027759,0.825693,0.073249,1.866387
images/original/porsche.gif,1,64000,0.000971,0.000103,0.002171,0.000378,0.002155
images/original/Produits_sous_linux.gif,1,760000,0.006304,0.001359,0.031904,0.002397,0.006170
images/original/TimelyHugeGnu.gif,19,230400,0.046050,0.005657,0.089512,0.011831,0.292284
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,10,230400,0.016187,0.002907,0.097761,0.006896,0.268435
